tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,Fantasy,War,Musical,Action,Horror,Mystery,Comedy,Drama,Game-Show,Biography,Documentary,Family,Short,Animation,Talk-Show,Thriller,Adult,Sci-Fi,History,Reality-TV,Adventure,Sport,Romance,News,Music,Crime,Western,isOriginalTitle,storylines,keywords,languages
tt4094300,Crazy Ex-Girlfriend,Crazy Ex-Girlfriend,2015,2019,42,"Comedy,Musical",7.8,15184,"nm0776317,nm1279203,nm1989536,nm0902939,nm0994538,nm0650905,nm1158282,nm0579318,nm0112459,nm0005088,nm0151540,nm2802539,nm1837956,nm0872823,nm1260607,nm0769135,nm0205542,nm1420377,nm2287168,nm1286069,nm0935253,nm0920950,nm0664514,nm0417794,nm1576090,nm0568018,nm4549412","nm3417385,nm0112459,nm6822152,nm4313823,nm6869772,nm2463299,nm1576090,nm1837956,nm0386871,nm4549412,nm1279203,nm2287168,nm3096061,nm5793859,nm1989536,nm4629659,nm0772245",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"To most looking in, Rebecca Bunch has a great life: a high powered job as an attorney in a prestigious New York law firm, great future prospects in her chosen profession, looks, brains, and money. But she has always suffered from anxiety and depression, for which she is on a plethora of pills. Those maladies are largely from being pushed by her overbearing Jewish mother, which also led to Rebecca's father abandoning the family when she was young. When on the streets of New York Rebecca runs into Josh Chan, her boyfriend from summer camp ten years ago when they were sixteen, she remembers back to that time as the happiest time in her life, happiness which eludes her. When Josh mentions that he is imminently moving back to his hometown of West Covina, California, Rebecca decides to pursue happiness in moving to West Covina herself, telling people it's because she got a fabulous job there, where in reality it's to rekindle a relationship with Josh, which she believes is what will make ...","law firm, west covina california, female lead, female lawyer, obsession",English
tt0452046,Criminal Minds,Criminal Minds,2005,2020,42,"Crime,Drama,Mystery",8.1,147019,"nm0203215,nm0518910,nm1684548,nm0001513,nm0938490,nm0791672,nm0592535,nm0788610,nm0775358,nm0864936,nm1168394,nm0394586,nm0961594,nm0942869,nm0191697,nm0069513,nm0385151,nm0793455,nm0066584,nm0004627,nm0406687,nm0855613,nm0255028,nm0283816,nm0616254,nm0795288,nm0102434,nm0837175,nm0004959,nm0004610,nm0872442,nm1879589,nm0884218,nm0571739,nm0878768,nm0001274,nm0362734,nm0354024,nm0007439,nm0376006,nm0140764,nm0225416,nm0000824,nm0818237,nm0143984,nm0806914,nm0253531,nm0735504,nm0001505,nm0106230,nm0272704,nm1270350,nm0783180,nm0066218,nm0302411,nm0470971,nm0509409,nm0548159,nm1131557,nm0076708,nm0726975,nm0135529,nm0047458,nm0258066,nm0449957,nm0076167,nm0779641,nm0176882,nm1739200,nm0271095,nm0735226,nm0538744,nm0236173,nm0444709,nm0914368,nm0744794,nm0004517","nm1471491,nm2336731,nm2021590,nm3400157,nm1387989,nm2026757,nm1110140,nm0292558,nm0956678,nm2599843,nm1271306,nm1125049,nm0792471,nm0076708,nm1267367,nm0612768,nm0592535,nm2428141,nm1109145,nm2200729,nm0064157,nm1322707,nm2069906,nm1173204,nm0053816,nm1661496,nm1494536,nm1003804,nm0363737,nm2106095,nm2111309,nm0566972,nm3532201,nm0614880,nm0973918,nm3279855,nm3696433,nm0208961,nm3854345,nm1059242,nm0373155,nm0937035,nm2261052,nm3914216,nm3912601,nm4816572,nm3912615,nm4302056,nm8996738",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,"Based in Quantico, Virginia, the Behavioral Analysis Unit (B.A.U.) is a subsection of the F.B.I. Called in by local Police departments to assist in solving crimes of a serial and/or extremely violent nature where the perpetrator is unknown (referred to by the Unit as the unknown subject or ""unsub"" for short), the B.A.U. uses the controversial scientific art of profiling to track and apprehend the unsub. Profiling entails coming up with basic characteristics of the unsub and the victims (referred to as the victimology), using evidence from the case and matching that information to historic precedents and psychological analyses as a means to solve the case. Because of the nature of the work conducted by the B.A.U. - the work being time consuming and psychologically demanding - its members are fiercely loyal to the Unit and to its other members. Also because of the work's overall demanding nature, not many members of the B.A.U. have been able to maintain a happy or stable family life.","serial killer, serial murder, murder, 21st century, woman","USA, Canada"
tt0284718,Crossing Jordan,Crossing Jordan,2001,2007,60,"Crime,Drama,Mystery",6.9,9687,"nm0396817,nm0215123,nm0000824,nm0743164,nm0508883,nm0774111,nm0225416,nm0035106,nm0438279,nm0003080,nm0005007,nm0327064,nm0206259,nm0385151,nm0870306,nm0159154,nm0438500,nm0872442,nm0940668,nm0003497,nm0931724,nm0006853,nm0956910,nm0314840,nm0001208,nm0938490,nm0523310,nm0004610,nm0923571,nm0113054,nm0952352,nm0742819","nm0471352,nm0746362,nm0184586,nm0566552,nm0511541,nm0309087,nm0321782,nm0294352,nm1061887,nm0081299,nm0125777,nm0359438,nm0023897,nm1847815,nm0931662,nm0765438,nm1003804,nm2185627,nm0089369,nm0450394,nm0179244,nm0036169,nm0695643,nm1267367,nm0925873,nm0300081,nm0514445,nm0942753,nm0132319,nm0620743,nm0053816,nm1848009,nm1061823,nm0789846,nm0989941,nm1847913,nm1321917,nm0884313,nm0583580,nm2184587,nm2284959,nm1195432,nm0743279",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,"Dr. Jordan Cavanaugh is a forensic pathologist who lost her job with the Boston medical examiner's office because her passion for solving homicides frequently extended beyond the autopsy table. Years later, an old ally rescues Jordan from court-ordered anger management training in Los Angeles and rehires her to her former job in Boston. Jordan is still feisty and mercurial and a pain in the butt, but management tolerates her because she is good at her job. She and her father, a disgraced former Boston police detective, often solve crimes together by using a role-playing game they've played since Jordan's childhood. It goes: ""You be the killer, and I'll be the victim, and we'll figure out how this happened."" The driving force in Jordan's life and career is the crime she took the longest time to solve -- her mother's murder.","detective, police, female protagonist, female detective, 21st century","French', 'Czech"
tt2427220,Crossing Lines,Crossing Lines,2013,2015,43,"Action,Crime,Drama",7.4,11896,"nm0876448,nm0884659,nm0672873,nm0007093,nm1164755,nm0668887,nm0059570,nm0933002,nm0531815,nm1732975,nm0372072,nm0758949,nm0093322,nm0247123,nm1353167,nm0492722,nm0941189","nm0076708,nm0374289,nm5566540,nm0550158,nm0688943,nm0061541,nm7957835,nm0819487,nm2261052,nm0975294,nm3900512,nm3818666,nm4351441,nm7895968,nm4433634,nm0583292,nm1231249,nm0695112,nm0006450",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,"A special crime unit investigates serialized crimes that cross over European borders, to hunt down criminals and bring them to justice.","american abroad, interrogation, shooting, kidnapping, cross border","France, Germany, Belgium, USA"
tt0264235,Curb Your Enthusiasm,Curb Your Enthusiasm,2000,,28,Comedy,8.7,93581,"nm0004332,nm0153078,nm0769840,nm0330057,nm0825731,nm0073688,nm0541635,nm0009953,nm0307531,nm0661751,nm0874133,nm0469689,nm0625458,nm0385644,nm0641721","nm0202970,nm0769840,nm0073688,nm0541635,nm3225654,nm0371351,nm1020904,nm0500140",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"He's got it all: a loving wife, good friends, a successful career, a great home...what could possibly go wrong for Larry David? Seinfeld co-creator Larry David stars as himself in this hilarious, off-kilter comedy series that presents an unflinching, self-deprecating depiction of his life.","actor playing himself, misperception, misconception, misunderstanding, husband wife relationship",English
tt4532368,DC's Legends of Tomorrow,Legends of Tomorrow,2016,,42,"Action,Adventure,Drama",6.8,86662,"nm0611983,nm0808376,nm0190597,nm0236173,nm1069989,nm1756590,nm1488618,nm0004554,nm0637458,nm0485637,nm0793455,nm0848699,nm0934663,nm0311454,nm0001102,nm0375973,nm0935732,nm2362068,nm0595136,nm0629152,nm0021592,nm0795288,nm0343687,nm0624423,nm0294457,nm0158755,nm0003080,nm1143132,nm1032600,nm0021772,nm1160495","nm0075528,nm0973233,nm0459237,nm1132610,nm1234711,nm1158909,nm6763803,nm5279759,nm8620229,nm3113826,nm2582956,nm0247063,nm1776338,nm3279855,nm5099297,nm6406162,nm2655560,nm2584087,nm3514580,nm8577844,nm10485737",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"When heroes alone are not enough - the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat - one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?","dc comics, 2010s, based on comic book, time travel, dc arrowverse",USA
tt0367274,Da Ali G Show,Da Ali G Show,2003,2004,30,"Comedy,Talk-Show",8,12732,\N,\N,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Comedian Sacha Baron Cohen appears as Ali G, a rapper-wannabe from Staines. Ali G has his own TV show, where he interviews people on serious subjects. They're not aware that Ali G is just a character and they're being set up as part of a comedy act. Cohen also appears in two other guises: as Borat, a Kazakhstani reporter, and Bruno, a gay Austrian fashionista. Hilarity ensues.","cringe comedy, british, toilet humor, character name as series title, four word series title",English
tt2094262,Da Vinci's Demons,Da Vinci's Demons,2013,2015,59,"Adventure,Biography,Drama",8,71482,"nm1098790,nm0853535,nm0683478,nm1490107,nm0836430,nm0428448,nm0932882,nm0668350,nm0333060,nm1068186,nm0387486","nm0333060,nm2830283,nm2830317,nm1734038,nm0625198,nm1250141,nm3059675,nm5365495,nm2542427,nm0991355,nm0018504,nm0073693,nm0793062,nm0013878,nm1305006,nm3881781,nm4213694,nm5560332,nm1381217,nm0755967",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Written byDavid S. Goyer, the series follows the ""untold"" story of Leonardo Da Vinci: the genius during his early years in Renaissance Florence. As a 25-year old artist, inventor, swordsman, lover, dreamer and idealist, he struggles to live within the confines of his own reality and time as he begins to not only see the future, but invent it.","sex scene, florence italy, gay lover, photography, leather pants",USA
tt1723760,Dallas,Dallas,2012,2014,42,"Drama,Romance",7.1,9823,"nm0732233,nm0732218,nm1061992,nm0791381,nm0153552,nm0957198,nm0867712,nm0003150,nm0743059,nm0378893,nm0188929,nm0001155,nm0385151","nm0162112,nm0414372,nm0746362,nm0711298,nm4209344,nm1321257,nm0318343,nm1646492,nm0924095,nm2551602",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,"John Ross and Christopher, the children of bitter rivals and brothers J.R. and Bobby Ewing, clash over the future of the Ewing dynasty, while the fate of SouthFork weighs in the balance. The current proprietor of SouthFork, Bobby Ewing, is determined to protect the promise he made to his late mother Miss Ellie. The infamous, scheming J.R. Ewing returns to SouthFork.","oil, sex, father son relationship, unfaithfulness, infidelity",English
tt0077000,Dallas,Dallas,1978,1991,60,"Drama,Romance",6.9,10871,"nm0065568,nm0082676,nm0541900,nm0232702,nm0822570,nm0253605,nm0545273,nm0801883,nm0449242,nm0684719,nm0786989,nm0206560,nm0568228,nm0206488,nm0860650,nm0469957,nm0132095,nm0562251,nm0004886,nm0388629,nm0667299,nm0441940,nm0695779,nm0364749,nm0229697,nm0186305,nm0601293,nm0001306,nm0001155,nm0271928,nm0554169,nm0165493,nm0369858,nm0568546,nm0417054,nm0010431,nm0001904,nm0336782,nm0375570,nm0036206,nm0200645,nm0437076,nm0294229","nm0414372,nm0441940,nm0506938,nm0545550,nm0667299,nm0482246,nm0441943,nm0549018,nm0782462,nm0242896,nm0270570,nm0520981,nm0235902,nm0255718,nm0136020,nm0307622,nm0924867,nm0166186,nm0221637,nm0789947,nm0284894,nm0284945,nm0861439,nm0397622,nm0851392,nm1444448,nm0017747,nm0186672,nm0409131,nm0253489,nm0997972,nm9129825,nm0791183,nm0298908,nm0792561,nm0055071,nm0355054,nm0557716,nm0853664,nm0007233,nm0951392",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,"Popular evening soap opera-style television drama. The show was set in Dallas, Texas and chronicled the exploits of wealthy Texas oil millionaires. Many of the plots revolved around shady business dealings and dysfunctional family dynamics.","oil, texas, ranch, soap opera, oil baron",English
